"","destination","passanger","weather","temperature","time","map","coupon","expiration","gender","age","maritalStatus","Childrennumber","education","occupation","income","car","Bar","CoffeeHouse","CarryAway","RestaurantLessThan20","Restaurant20To50","click","toCoupon_GEQ5min","toCoupon_GEQ15min","toCoupon_GEQ25min","direction_same","direction_opp","Y"
"1","No Urgent Place","Alone","Sunny","55","2PM","NAC1","Restaurant(<20)","1d","Female","21","Unmarried partner","1","Some college, no degree","Unemployed","$37,500 - $49,999","1","never","never","","4~8","1~3","Y2","1","0","0","0","1","1"
"2","No Urgent Place","Friend(s)","Sunny","80","10AM","NAC1","Coffee House","2h","Female","21","Unmarried partner","1","Some college, no degree","Unemployed","$37,500 - $49,999","1","never","never","","4~8","1~3","N","1","0","0","0","1","0"
"3","No Urgent Place","Friend(s)","Sunny","80","10AM","NAC2","Carry out & Take away","2h","Female","21","Unmarried partner","1","Some college, no degree","Unemployed","$37,500 - $49,999","1","never","never","","4~8","1~3","Y2","1","1","0","0","1","1"
"4","No Urgent Place","Friend(s)","Sunny","80","2PM","NAC2","Coffee House","2h","Female","21","Unmarried partner","1","Some college, no degree","Unemployed","$37,500 - $49,999","1","never","never","","4~8","1~3","N","1","1","0","0","1","0"
"5","No Urgent Place","Friend(s)","Sunny","80","2PM","NAC2","Coffee House","1d","Female","21","Unmarried partner","1","Some college, no degree","Unemployed","$37,500 - $49,999","1","never","never","","4~8","1~3","N","1","1","0","0","1","0"
"6","No Urgent Place","Friend(s)","Sunny","80","6PM","NAC2","Restaurant(<20)","2h","Female","21","Unmarried partner","1","Some college, no degree","Unemployed","$37,500 - $49,999","1","never","never","","4~8","1~3","Y1","1","1","0","0","1","1"
"7","No Urgent Place","Friend(s)","Sunny","55","2PM","NAC2","Carry out & Take away","1d","Female","21","Unmarried partner","1","Some college, no degree","Unemployed","$37,500 - $49,999","1","never","never","","4~8","1~3","Y1","1","1","0","0","1","1"
"8","No Urgent Place","Kid(s)","Sunny","80","10AM","NAC2","Restaurant(<20)","2h","Female","21","Unmarried partner","1","Some college, no degree","Unemployed","$37,500 - $49,999","1","never","never","","4~8","1~3","Y2","1","1","0","0","1","1"
"9","No Urgent Place","Kid(s)","Sunny","80","10AM","NAC2","Carry out & Take away","2h","Female","21","Unmarried partner","1","Some college, no degree","Unemployed","$37,500 - $49,999","1","never","never","","4~8","1~3","Y2","1","1","0","0","1","1"
"10","No Urgent Place","Kid(s)","Sunny","80","10AM","NAC2","Bar","1d","Female","21","Unmarried partner","1","Some college, no degree","Unemployed","$37,500 - $49,999","1","never","never","","4~8","1~3","N","1","1","0","0","1","0"
"11","No Urgent Place","Kid(s)","Sunny","80","2PM","NAC1","Restaurant(<20)","1d","Female","21","Unmarried partner","1","Some college, no degree","Unemployed","$37,500 - $49,999","1","never","never","","4~8","1~3","Y1","1","0","0","0","1","1"
"12","No Urgent Place","Kid(s)","Sunny","55","2PM","NAC2","Restaurant(<20)","1d","Female","21","Unmarried partner","1","Some college, no degree","Unemployed","$37,500 - $49,999","1","never","never","","4~8","1~3","Y2","1","1","0","0","1","1"
"13","No Urgent Place","Kid(s)","Sunny","55","6PM","NAC2","Coffee House","2h","Female","21","Unmarried partner","1","Some college, no degree","Unemployed","$37,500 - $49,999","1","never","never","","4~8","1~3","Y2","1","1","0","0","1","1"
"14","Home","Alone","Sunny","55","6PM","BCA1","Bar","1d","Female","21","Unmarried partner","1","Some college, no degree","Unemployed","$37,500 - $49,999","1","never","never","","4~8","1~3","Y2","1","0","0","1","0","1"
"15","Home","Alone","Sunny","55","6PM","BAC2","Restaurant(20-50)","1d","Female","21","Unmarried partner","1","Some college, no degree","Unemployed","$37,500 - $49,999","1","never","never","","4~8","1~3","Y1","1","1","0","0","1","1"
"16","Home","Alone","Sunny","80","6PM","BAC1","Coffee House","2h","Female","21","Unmarried partner","1","Some college, no degree","Unemployed","$37,500 - $49,999","1","never","never","","4~8","1~3","N","1","0","0","0","1","0"
"17","Work","Alone","Sunny","55","7AM","CBA1","Coffee House","2h","Female","21","Unmarried partner","1","Some college, no degree","Unemployed","$37,500 - $49,999","1","never","never","","4~8","1~3","Y2","1","1","1","0","1","1"
"18","Work","Alone","Sunny","55","7AM","CBA2","Bar","1d","Female","21","Unmarried partner","1","Some college, no degree","Unemployed","$37,500 - $49,999","1","never","never","","4~8","1~3","N","1","1","1","0","1","0"
"19","Work","Alone","Sunny","80","7AM","BAC2","Restaurant(20-50)","1d","Female","21","Unmarried partner","1","Some college, no degree","Unemployed","$37,500 - $49,999","1","never","never","","4~8","1~3","Y1","1","1","0","0","1","1"
"20","Work","Alone","Sunny","80","7AM","BCA1","Carry out & Take away","2h","Female","21","Unmarried partner","1","Some college, no degree","Unemployed","$37,500 - $49,999","1","never","never","","4~8","1~3","Y2","1","0","0","1","0","1"
"21","Work","Alone","Sunny","55","7AM","BAC1","Restaurant(<20)","1d","Female","21","Unmarried partner","1","Some college, no degree","Unemployed","$37,500 - $49,999","1","never","never","","4~8","1~3","N","1","0","0","0","1","0"
"22","Work","Alone","Sunny","55","7AM","BAC2","Coffee House","2h","Female","21","Unmarried partner","1","Some college, no degree","Unemployed","$37,500 - $49,999","1","never","never","","4~8","1~3","Y1","1","1","0","0","1","1"
"23","No Urgent Place","Alone","Sunny","55","2PM","NAC1","Restaurant(<20)","1d","Male","21","Single","0","Bachelors degree","Architecture & Engineering","$62,500 - $74,999","1","never","less1","4~8","4~8","less1","Y1","1","0","0","0","1","1"
"24","No Urgent Place","Friend(s)","Sunny","80","10AM","NAC1","Coffee House","2h","Male","21","Single","0","Bachelors degree","Architecture & Engineering","$62,500 - $74,999","1","never","less1","4~8","4~8","less1","N","1","0","0","0","1","0"
"25","No Urgent Place","Friend(s)","Sunny","80","10AM","NAC1","Bar","1d","Male","21","Single","0","Bachelors degree","Architecture & Engineering","$62,500 - $74,999","1","never","less1","4~8","4~8","less1","Y2","1","0","0","0","1","1"
"26","No Urgent Place","Friend(s)","Sunny","80","10AM","NAC2","Carry out & Take away","2h","Male","21","Single","0","Bachelors degree","Architecture & Engineering","$62,500 - $74,999","1","never","less1","4~8","4~8","less1","N","1","1","0","0","1","0"
"27","No Urgent Place","Friend(s)","Sunny","80","2PM","NAC1","Coffee House","1d","Male","21","Single","0","Bachelors degree","Architecture & Engineering","$62,500 - $74,999","1","never","less1","4~8","4~8","less1","N","1","0","0","0","1","0"
"28","No Urgent Place","Friend(s)","Sunny","80","2PM","NAC2","Coffee House","2h","Male","21","Single","0","Bachelors degree","Architecture & Engineering","$62,500 - $74,999","1","never","less1","4~8","4~8","less1","N","1","1","0","0","1","0"
"29","No Urgent Place","Friend(s)","Sunny","80","2PM","NAC2","Coffee House","1d","Male","21","Single","0","Bachelors degree","Architecture & Engineering","$62,500 - $74,999","1","never","less1","4~8","4~8","less1","N","1","1","0","0","1","0"
"30","No Urgent Place","Friend(s)","Sunny","80","2PM","NAC2","Restaurant(<20)","1d","Male","21","Single","0","Bachelors degree","Architecture & Engineering","$62,500 - $74,999","1","never","less1","4~8","4~8","less1","Y2","1","1","0","0","1","1"
"31","No Urgent Place","Friend(s)","Sunny","80","6PM","NAC1","Coffee House","2h","Male","21","Single","0","Bachelors degree","Architecture & Engineering","$62,500 - $74,999","1","never","less1","4~8","4~8","less1","N","1","0","0","0","1","0"
"32","No Urgent Place","Friend(s)","Sunny","80","6PM","NAC2","Restaurant(<20)","2h","Male","21","Single","0","Bachelors degree","Architecture & Engineering","$62,500 - $74,999","1","never","less1","4~8","4~8","less1","Y2","1","1","0","0","1","1"
"33","No Urgent Place","Friend(s)","Sunny","55","2PM","NAC1","Coffee House","2h","Male","21","Single","0","Bachelors degree","Architecture & Engineering","$62,500 - $74,999","1","never","less1","4~8","4~8","less1","N","1","0","0","0","1","0"
"34","No Urgent Place","Friend(s)","Sunny","55","2PM","NAC2","Carry out & Take away","1d","Male","21","Single","0","Bachelors degree","Architecture & Engineering","$62,500 - $74,999","1","never","less1","4~8","4~8","less1","Y2","1","1","0","0","1","1"
"35","No Urgent Place","Alone","Sunny","55","10AM","NAC1","Coffee House","2h","Male","21","Single","0","Bachelors degree","Architecture & Engineering","$62,500 - $74,999","1","never","less1","4~8","4~8","less1","N","1","0","0","0","1","0"
"36","Home","Alone","Sunny","55","6PM","BCA1","Bar","1d","Male","21","Single","0","Bachelors degree","Architecture & Engineering","$62,500 - $74,999","1","never","less1","4~8","4~8","less1","Y2","1","0","0","1","0","1"
